READING DATE,00:00,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
10/02/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.03300,0.23600,0.80300,1.60500,2.10200,3.63800,3.37800,3.06300,2.66200,3.79000,4.48800,3.45200,2.41200,2.81900,2.69300,3.07100,1.34100,1.39800,0.51800,0.03900,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
09/02/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00600,0.16200,0.50100,1.24700,2.06200,2.66500,2.46500,3.07200,3.25000,3.85100,2.78000,2.34000,2.45200,1.75900,1.86200,1.96100,1.49600,0.97900,0.20800,0.00200,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
08/02/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.03400,0.60300,2.18400,3.32700,3.71400,4.43000,5.80500,5.75800,6.36900,7.74500,7.43500,6.28600,5.40800,3.09600,2.30800,2.12700,0.89800,0.62200,0.06300,0.00100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
07/02/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.02900,0.38800,1.60400,5.09100,9.93600,12.66400,17.04400,23.59200,20.31900,18.69700,25.16600,24.92300,22.56900,17.83800,12.32600,7.32700,2.56400,1.28300,0.27400,0.01100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
06/02/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01400,0.39300,1.60800,3.15000,4.78000,5.41900,10.85900,11.07300,18.89700,14.27000,11.15400,9.26200,11.44600,7.75300,6.36900,5.16900,4.19900,1.39400,0.30800,0.01000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
05/02/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01300,0.17700,0.86600,2.97100,4.50600,7.27900,7.89500,9.56800,7.13100,9.40600,7.17400,8.56000,6.01500,3.76300,3.28300,2.57000,1.82200,0.81500,0.12000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
04/02/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.14500,0.70900,3.62800,4.84100,5.62600,6.48900,8.77200,4.24000,5.28400,3.76300,3.86800,2.17700,2.28500,3.20400,1.78800,1.11700,0.49700,0.07000,0.00100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
03/02/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.02100,0.30400,1.46800,3.28700,3.69900,7.48500,4.88000,3.85900,8.12900,21.85700,22.13400,11.34700,10.97800,9.83900,8.24600,3.76500,1.70800,0.63700,0.19000,0.00200,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
02/02/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.02400,0.13600,0.45000,0.78000,1.05700,1.74450,1.74450,2.83800,4.15800,5.81700,10.11600,11.30000,11.98600,8.30600,4.41200,1.17700,0.44700,0.12300,0.00400,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
01/02/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.02100,0.35200,1.05000,3.15600,5.73600,4.80500,4.75700,6.71500,3.47600,4.35600,6.02500,4.45100,3.78400,4.24900,3.79400,2.37500,1.64000,0.52400,0.09200,0.00100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
