READING DATE,00:00,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
10/02/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.03000,0.22700,0.78100,1.58200,2.04400,3.75500,3.39200,3.01600,2.62800,3.76700,4.40000,3.41800,2.36800,2.76500,2.65600,3.06500,1.33500,1.38600,0.50600,0.03600,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
09/02/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00400,0.16000,0.49700,1.23300,2.03300,2.63400,2.43100,3.03600,3.22200,3.81100,2.75100,2.31800,2.42000,1.74200,1.84000,1.95400,1.48600,0.97000,0.20100,0.00100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
08/02/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.03100,0.58600,2.11200,3.24200,3.66600,4.37000,5.73200,5.68800,6.26600,7.58700,7.28900,6.15200,5.29300,3.03300,2.26300,2.08300,0.88300,0.60000,0.05900,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
07/02/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.02700,0.37800,1.46900,3.86000,9.35300,12.30100,14.99800,18.45400,16.21200,15.77600,20.03100,18.59100,15.40000,14.10900,10.94900,6.70900,2.23100,1.22800,0.26600,0.00800,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
06/02/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01200,0.37900,1.57100,3.05500,4.58600,5.21600,10.06800,9.54600,15.45800,12.50400,9.77800,8.23300,9.71300,7.00100,6.01800,4.89200,3.50900,1.32600,0.29200,0.00700,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
05/02/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01100,0.16900,0.86200,2.93200,4.43500,7.10500,7.67500,9.24600,6.94000,9.09100,6.97100,8.28800,5.91900,3.70800,3.23000,2.52800,1.79300,0.80300,0.11400,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
04/02/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.13900,0.69500,3.58100,4.73500,5.53700,6.40000,8.59300,4.20400,5.22300,3.72800,3.82500,2.15300,2.25600,3.17000,1.76800,1.10600,0.49100,0.06700,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
03/02/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01800,0.29100,1.35900,2.71700,3.41200,7.22500,4.75100,3.68900,6.73600,16.24400,18.00000,10.17000,10.07000,9.13500,7.56900,3.63700,1.66900,0.61900,0.17900,0.00100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
02/02/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01900,0.13000,0.44300,0.76700,1.04000,1.70850,1.70850,2.78800,4.05500,5.62700,9.51200,10.29100,11.22600,7.84300,4.29500,1.17200,0.44200,0.12100,0.00200,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
01/02/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01800,0.33600,0.99100,2.55800,4.25400,4.71000,4.66100,6.54700,3.40300,4.26700,5.90200,4.37700,3.69600,4.13000,3.63600,2.28400,1.60600,0.50800,0.08500,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
