READING DATE,00:00,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
10/02/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.03300,0.23700,0.80100,1.60900,2.09500,3.64900,3.37900,3.06200,2.66200,3.78900,4.47400,3.43800,2.40800,2.81500,2.69500,3.07400,1.34400,1.40500,0.52100,0.03900,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
09/02/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00400,0.16000,0.49800,1.24500,2.06600,2.66400,2.46500,3.07200,3.25000,3.84900,2.77800,2.34100,2.45200,1.76200,1.86200,1.96300,1.49600,0.98000,0.20900,0.00100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
08/02/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.03400,0.59700,2.15500,3.28100,3.69900,4.42600,5.79100,5.73900,6.34400,7.72800,7.40900,6.26500,5.39100,3.09100,2.30500,2.12500,0.89900,0.62100,0.06200,0.00100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
07/02/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.02800,0.37800,1.47700,4.85800,9.80300,12.09700,16.49800,22.97200,20.79500,18.94600,25.90000,25.96900,21.97400,18.02200,12.80500,7.82100,2.68700,1.29400,0.27900,0.01100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
06/02/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01400,0.38700,1.58500,3.10100,4.70600,5.35400,10.65200,10.82700,18.83800,14.34200,11.24200,9.29200,11.28900,7.87200,6.41200,5.27400,4.40400,1.42300,0.30900,0.00900,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
05/02/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01300,0.17500,0.86300,2.96100,4.47900,7.23100,7.84100,9.49700,7.09300,9.37200,7.14100,8.51800,5.99700,3.75500,3.27500,2.56400,1.82100,0.81400,0.12100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
04/02/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.14400,0.71200,3.60000,4.79700,5.60000,6.46700,8.73200,4.24000,5.28000,3.76000,3.86600,2.17700,2.28700,3.20400,1.78800,1.12000,0.50000,0.07200,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
03/02/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01900,0.29600,1.38200,3.08600,3.64900,7.39900,4.84500,3.81200,7.86400,20.46400,21.16000,11.16000,11.40000,9.90500,8.38400,3.78100,1.70800,0.63600,0.18800,0.00200,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
02/02/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00100,0.02200,0.13500,0.45100,0.78200,1.05900,1.74150,1.74150,2.83300,4.14500,5.78000,10.23600,11.61700,12.05100,8.42500,4.46000,1.17400,0.44700,0.12700,0.00300,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
01/02/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01800,0.33900,1.01000,2.92300,5.60600,4.76300,4.73000,6.67600,3.47300,4.34600,6.00800,4.44000,3.78000,4.24600,3.81000,2.38900,1.63700,0.52400,0.09300,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
31/01/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.06700,0.36100,1.15300,2.20800,4.20500,4.14500,6.23200,3.31800,1.38600,1.06700,1.10100,0.96100,1.40000,0.90000,0.45200,0.23500,0.51800,0.12200,0.00100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
30/01/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00900,0.25500,0.86600,1.63100,7.76300,10.82000,12.43700,13.94000,7.60600,5.86700,8.42600,10.85400,9.88100,9.78000,2.89600,2.43200,1.65000,0.76800,0.10400,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
29/01/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.03800,0.29400,0.73400,1.16700,1.89500,2.45200,2.98500,3.65600,4.33000,3.52900,3.04900,1.89300,0.89300,1.18000,0.94100,0.35200,0.04600,0.01400,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
28/01/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.07900,0.66500,1.30800,1.94800,2.94000,3.84600,6.36200,6.22900,5.88800,6.56800,6.47200,5.62500,4.30800,2.45100,1.57100,0.71500,0.19200,0.00200,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
27/01/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01100,0.21500,1.19400,2.72500,6.24300,10.34400,12.42700,12.78600,13.96600,13.58000,9.99200,8.43600,10.28400,8.40000,6.96400,2.97200,1.41000,0.55800,0.04000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
26/01/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.09700,0.67900,1.62400,4.30100,9.47100,11.13500,12.66500,6.93200,13.58800,12.79700,10.42500,10.13000,7.78200,4.46900,2.00000,1.27600,0.55400,0.06100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
25/01/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01800,0.41200,2.26400,2.82800,3.64300,3.60500,6.67500,9.46900,3.63500,4.94500,8.55400,4.46300,2.85900,2.21700,0.99700,0.51800,0.18400,0.00800,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
