READING DATE,00:00,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
10/02/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.02600,0.21800,0.78600,1.58000,2.06400,3.55300,3.31400,3.02400,2.62500,3.72700,4.42100,3.37500,2.37200,2.77500,2.65700,3.02300,1.31300,1.37900,0.50500,0.03000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
09/02/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00200,0.13600,0.47300,1.21400,2.03100,2.62400,2.42800,3.02700,3.20000,3.79600,2.73500,2.30400,2.41200,1.72700,1.83100,1.92400,1.46800,0.95600,0.18900,0.00100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
08/02/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.02500,0.56100,2.04000,3.12700,3.61800,4.35000,5.70400,5.65100,6.26200,7.64100,7.33300,6.19400,5.32600,3.04900,2.27200,2.08700,0.87800,0.60500,0.04500,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
07/02/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.02100,0.34000,1.33500,4.19300,8.89400,11.93600,17.62100,24.91300,21.05200,18.54100,25.34500,26.01800,24.51100,20.61900,12.97200,7.90700,2.88400,1.28400,0.26300,0.00600,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
06/02/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00900,0.36000,1.51800,2.97200,4.54500,5.26400,10.82400,11.36000,19.49200,14.36700,11.30900,9.41900,11.86900,8.13700,6.42300,5.28000,4.91200,1.45500,0.29300,0.00600,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
05/02/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00700,0.15900,0.83800,2.91200,4.39600,7.13700,7.76000,9.46100,7.01200,9.30200,7.06300,8.45100,5.92000,3.70300,3.23000,2.52500,1.79000,0.79600,0.10400,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
04/02/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.12600,0.68900,3.50900,4.66800,5.50100,6.37100,8.65600,4.17500,5.20600,3.70600,3.80800,2.13900,2.24900,3.15800,1.75800,1.09700,0.48400,0.05800,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
03/02/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01200,0.26100,1.25100,2.81400,3.49700,7.32200,4.77400,3.77300,8.67800,23.57200,23.40600,11.60200,11.70000,9.94800,8.46400,3.76500,1.68500,0.61700,0.17500,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
02/02/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01000,0.11600,0.42700,0.76000,1.03900,1.71500,1.71500,2.79400,4.11300,5.75000,10.37400,11.86300,12.06900,8.47100,4.44400,1.14600,0.43000,0.10500,0.00100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
01/02/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01100,0.30200,0.92200,2.71500,5.18900,4.65500,4.65400,6.62300,3.44300,4.30600,5.93600,4.39400,3.74000,4.21600,3.80300,2.38100,1.61000,0.50800,0.07700,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
