READING DATE,00:00,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
10/02/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.03100,0.23300,0.78700,1.58900,2.04700,3.82500,3.42700,3.02900,2.64300,3.79300,4.41100,3.44000,2.37700,2.77600,2.66900,3.09500,1.35000,1.40100,0.51300,0.03900,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
09/02/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00600,0.16400,0.50900,1.24000,2.04600,2.65000,2.44500,3.05400,3.24100,3.83200,2.76900,2.33300,2.43300,1.75500,1.85300,1.97000,1.50100,0.98100,0.21100,0.00200,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
08/02/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.03500,0.59000,2.10300,3.23700,3.67800,4.38700,5.75800,5.71900,6.31500,7.65700,7.35800,6.21800,5.35400,3.06200,2.28600,2.10800,0.89100,0.61800,0.06200,0.00100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
07/02/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.02900,0.38500,1.39100,3.63400,9.41000,12.32900,14.62900,17.17300,15.19900,15.64500,20.06200,18.64700,15.90300,15.19900,11.58200,6.90900,2.27700,1.24300,0.27800,0.01000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
06/02/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01400,0.38700,1.58200,3.06600,4.59200,5.22900,10.01500,9.38100,15.02500,12.53000,9.85100,8.35500,9.97000,7.25900,6.11900,4.95700,3.56900,1.35500,0.30200,0.01000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
05/02/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01300,0.17900,0.87700,2.96200,4.47200,7.14100,7.70700,9.27100,6.99200,9.17300,7.03900,8.38100,5.96800,3.74200,3.26200,2.55500,1.81200,0.81300,0.12300,0.00100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
04/02/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.14500,0.70200,3.59000,4.74600,5.55500,6.41900,8.61100,4.22900,5.24800,3.75000,3.84700,2.17000,2.26900,3.18900,1.78000,1.11700,0.49800,0.07300,0.00100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
03/02/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.02000,0.29600,1.33300,2.53400,3.35200,7.19000,4.77700,3.71200,6.92100,16.99100,18.65600,10.75000,10.62200,9.50300,7.77900,3.67900,1.68900,0.63200,0.18900,0.00200,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
02/02/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00100,0.02400,0.13500,0.45300,0.77600,1.04800,1.72750,1.72750,2.81700,4.08400,5.73700,10.03900,10.86900,11.68700,7.99900,4.33100,1.19000,0.45300,0.13000,0.00300,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
01/02/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.02000,0.34100,0.98100,2.33100,3.94800,4.73200,4.70000,6.60200,3.43600,4.30400,5.95000,4.42100,3.72900,4.16000,3.66600,2.31100,1.62600,0.52100,0.09300,0.00100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
