READING DATE,00:00,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
10/02/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.03100,0.23700,0.79100,1.59400,2.05400,3.82000,3.42700,3.03500,2.64300,3.80000,4.42000,3.45300,2.38200,2.78300,2.66700,3.09900,1.35100,1.40500,0.51600,0.04000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
09/02/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00600,0.16800,0.51100,1.24300,2.04800,2.65200,2.44800,3.05500,3.24400,3.83500,2.77500,2.33700,2.43600,1.76100,1.85600,1.97400,1.50600,0.98700,0.21300,0.00300,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
08/02/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.03600,0.59500,2.12200,3.25900,3.68600,4.39600,5.76800,5.73200,6.33800,7.69300,7.39100,6.24400,5.38000,3.07500,2.29800,2.12100,0.90200,0.61900,0.06700,0.00100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
07/02/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.03000,0.38800,1.37800,4.06600,9.74600,12.70800,15.79900,20.32300,17.78800,17.61700,22.69700,21.08600,18.19500,16.06100,11.87500,6.69900,2.39900,1.24100,0.27300,0.01100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
06/02/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01500,0.39200,1.59200,3.09700,4.68400,5.33600,10.48800,10.15900,16.94100,13.46700,10.38600,8.61500,10.38000,7.42000,6.13800,4.93200,3.96100,1.40900,0.30000,0.01100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
05/02/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01500,0.18100,0.88500,2.97800,4.49600,7.18300,7.76800,9.37600,7.04500,9.25400,7.09200,8.42000,5.98300,3.75500,3.27100,2.56400,1.82000,0.81600,0.12600,0.00100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
04/02/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00100,0.14600,0.70300,3.59500,4.77800,5.56200,6.42200,8.65600,4.23600,5.25300,3.75400,3.85300,2.17400,2.27400,3.19400,1.78500,1.12200,0.49900,0.07600,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
03/02/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.02200,0.30200,1.37100,2.63200,3.48700,7.47200,4.80100,3.77100,7.15900,18.19500,19.31600,10.96600,10.79400,9.57400,7.73900,3.67700,1.68900,0.63400,0.19100,0.00200,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
02/02/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00100,0.02600,0.13900,0.45500,0.78100,1.05200,1.73700,1.73700,2.83100,4.09700,5.78500,10.23200,11.05000,11.72000,7.91100,4.32800,1.19300,0.45500,0.13300,0.00400,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
01/02/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.02200,0.34600,0.99500,2.35200,4.54000,4.74900,4.71700,6.66000,3.44600,4.31700,5.96600,4.43500,3.73500,4.16100,3.68700,2.33400,1.63500,0.52100,0.09500,0.00100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
